model,n_rows,parse_errors,accuracy,macro_f1,weighted_f1,rougeL_f1,bertscore_f1
Qwen3-4B-Instruct-2507,480,1,0.697286012526096,0.6712892887798129,0.69203299125996,0.20336651774151773,0.8584408309310675
Phi-4-mini-instruct,480,0,0.6291666666666667,0.5927070538473596,0.6245140411594818,0.16040935915935914,0.8527214294920366
Qwen2.5-7B-Instruct,480,1,0.5678496868475992,0.563869620422347,0.5214340778341228,0.28655028420653417,0.8743893696616093
Mistral-7B-Instruct-v0.3,480,2,0.6108786610878661,0.5407433842887168,0.5961793532174274,0.11894632208535073,0.8420415960252285
